10,91
77,64
7,78
69,49
87,30
13,11
42,61
11,94
91,0
67,57
69,50
67,72
24,48
49,31
71,74
62,33
49,42
40,26
21,89
90,29
89,24
19,70
69,99
62,13
94,29
72,51
94,29
18,58
62,15
60,78
63,5
58,30
43,94
4,92
85,79
82,53
71,88
57,58
44,68
32,78
51,99
55,21
8,45
56,13
58,87
26,43
64,51
45,1
61,28
97,54
37,58
64,41
92,74
20,64
95,59
93,42
87,31
79,27
75,69
61,84
90,18
65,40
86,79
41,4
71,28
55,70
39,22
61,82
27,71
55,25
68,74
79,79
63,72
74,91
34,71
71,79
90,75
82,78
1,10
9,53
14,23
71,78
52,30
4,11
48,73
12,18
80,25
91,76
5,83
8,91
96,76
13,97
56,50
43,18
1,39
84,23
84,17
77,15
5,25
12,57
64,84
23,35
73,80
62,68
66,84
58,55
0,66
38,11
13,79
68,89
88,19
78,71
87,40
55,17
70,33
70,51
70,37
8,16
65,60
81,34
33,90
86,1
69,5
79,81
49,86
96,88
45,71
12,43
27,95
87,14
66,70
87,74
11,42
93,96
35,45
62,45
55,8
41,64
34,62
1,12
14,80
58,57
73,67
75,46
27,29
45,56
55,20
62,82
76,84
40,3
68,65
53,77
75,21
19,73
64,42
76,73
26,31
36,98
33,57
95,44
10,98
5,35
63,73
29,50
21,50
49,94
10,13
39,41
78,93
84,78
85,17
78,22
53,26
5,63
90,22
29,38
65,93
86,94
23,36
8,28
11,68
0,29
71,42
9,66
16,78
95,38
49,60
51,61
90,19
92,8
85,25
97,18
99,32
91,81
36,74
64,61
88,26
95,43
91,86
9,81
35,62
54,60
86,27
52,68
85,38
81,17
82,6
69,90
89,94
80,89
90,8
31,36
58,4
71,37
72,4
96,52
20,39
11,2
6,96
54,8
43,11
40,48
57,71
96,70
99,2
73,36
93,84
92,69
40,58
49,60
15,19
91,65
54,21
42,43
33,14
44,51
45,29
32,83
55,55
92,34
44,95
16,41
68,78
86,4
88,68
90,11
43,6
68,1
62,49
12,76
83,7
79,85
90,40
67,53
23,73
56,13
9,53
26,34
78,89
34,26
54,97
0,35
79,63
90,15
61,10
3,22
44,58
98,86
10,4
2,38
24,36
9,44
40,94
20,64
40,93
3,36
48,42
91,52
8,83
19,93
90,84
82,88
49,96
2,23
27,45
7,87
89,81
38,45
94,11
84,40
69,93
12,46
89,75
19,29
11,25
41,72
95,89
12,87
44,17
55,15
